Kunde;customname;customform;name;fieldobjectid;fieldparentid;fieldparenttype;elementtype;fieldtype;blocktype;specialtype;fieldrelation;fieldlabel;language
ipw;form1712765;1712765;Forecast;1712766;;customform;field;date;;;;Dato;DA
ipw;form1712765;1712765;Forecast;1712776;;customform;field;decimal;;;;Tilbudssum: Tilbud >= 50% Deadline <90 dage;DA
ipw;form1712765;1712765;Forecast;1712780;;customform;field;decimal;;;;Sum ordrebeholdning (Tilgode);DA
ipw;form1712765;1712765;Forecast;1712782;;customform;field;decimal;;;;Sum ordrebeholdning (Est.tilgode);DA
ipw;form1600633;1600633;Test bandit;1715892;;customform;field;colorpicker;;;;Colortest;DA
ipw;form1173673;1173673;Erfaringer & Forbedringsmuligheder;1716067;1397446;customformelement;field;combo;;;;Kategori;DA
ipw;form1704636;1704636;Den lille test bandit hjÃ¦lper;1716341;;customform;field;text;;;;Tekstfelt;DA
ipw;form1600633;1600633;Test bandit;1721711;;customform;field;relation;;;document;Sort missing?;DA
ipw;form1712765;1712765;Forecast;1723857;;customform;field;attachfile;;;;Gemt PDF af fordeling;DA
ipw;form1683675;1683675;SI - Handleplan;1729611;2359167;customformelement;field;relation;;;form1683736;IgangsÃ¦ttelsesperiode;DA
ipw;form1683675;1683675;SI - Handleplan;1729633;1683677;customformelement;block;;layout_column;;;1;DA
ipw;form1704636;1704636;Den lille test bandit hjÃ¦lper;1735012;;customform;field;date;;;;Dato;DA
ipw;form1600633;1600633;Test bandit;1736329;;customform;field;string;;;;Nr.;DA
ipw;form1600633;1600633;Test bandit;1736332;;customform;field;combo;;;;Kategori;DA
ipw;form1600633;1600633;Test bandit;1736335;;customform;field;combo;;;;Type;DA
ipw;form1600633;1600633;Test bandit;1736395;;customform;field;text;;;;Beskrivelse;DA
ipw;form1600633;1600633;Test bandit;1737346;;customform;field;multiselect;;;form1196214;test;DA
ipw;form936826;936826;Opsigelse af lÃ¸sning;1741948;;customform;special;;;responsible;;Ansvarlig;DA
ipw;form695920;695920;Budgettal;1745154;;customform;field;decimal;;;;Debiteret support;DA
ipw;form695920;695920;Budgettal;1745155;;customform;field;decimal;;;;Kursusvirksomhed;DA
ipw;form1746464;1746464;Small Business - Varer;1746466;;customform;field;string;;;;Navn;DA
ipw;form1746464;1746464;Small Business - Varer;1746467;;customform;field;decimal;;;;Pris ex moms;DA
ipw;form1746464;1746464;Small Business - Varer;1746468;;customform;field;combo;;;;Varegruppe;DA
ipw;form1683675;1683675;SI - Handleplan;1754955;;customform;block;;layout_fieldset;;;Status;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758189;;customform;field;combo;;;;Hvor tit arbejder du hjemmefra nu om ugen (i gennemsnit);DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758198;;customform;field;combo;;;;Hvor meget forventer du at arbejde hjemmefra efter 'Corona' (i gennemsnit);DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758199;;customform;block;;layout_fieldset;;;Arbejdsplads;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758200;1758199;customformelement;special;;;layout_text;;FÃ¸lgende spÃ¸rgsmÃ¥l handler om din arbejdsplads derhjemme eller det sted derhjemme hvor du arbejder nÃ¥r du arbejder hjemmefra.;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758201;1758199;customformelement;field;combo;;;;Hvor stor er afstanden fra dine Ã¸jne til skÃ¦rmen(e);DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758205;1758199;customformelement;field;radiobutton;;;;Har du frit benplads under dit arbejdsbord?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758206;;customform;special;;;layout_fixedimage;;Benplads;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758236;1758199;customformelement;field;combo;;;;Hvor meget afstand er der bag forkanten af dit skrivebord? Dvs hvor meget plads er der til at bevÃ¦ge din stol bagud.;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758237;1758199;customformelement;field;combo;;;;Hvor meget benplads har du i bredden? Dvs hvor meget du kan bevÃ¦ge dine ben til hÃ¸jre og til venstre.;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758238;1758199;customformelement;field;radiobutton;;;;Kan dit bord indstilles i hÃ¸jde?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758239;1758199;customformelement;field;combo;;;;Har du en fast arbejdsplads der er indstillet til computerarbejde? Dvs ikke kÃ¸kkenbordet, havebordet, osv.;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758240;1758199;customformelement;field;combo;;;;Bruger du en kontorstol der kan indstilles?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758242;1758199;customformelement;field;combo;;;;Har du tastatur, mus, og ekstern skÃ¦rm tilsluttet din bÃ¦rbar pc nÃ¥r du arbejder hjemmefra?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758250;1758199;customformelement;field;combo;;;;Har du reflektion fra lys eller vinduer i din skÃ¦rm?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758245;1758199;customformelement;field;text;;;;Specificer;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758254;1758199;customformelement;field;combo;;;;Hvordan oplever du belysningen pÃ¥ din arbejdsplads?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758255;1758199;customformelement;field;radiobutton;;;;Kan du arbejde uforstyrret?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758259;1758199;customformelement;field;radiobutton;;;;Kan du arbejde frit for stÃ¸jgener?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758260;1758199;customformelement;field;combo;;;;Kan du bruge software online du har til rÃ¥dighed til at udfÃ¸re dit arbejde, f.e. adgang til IPW intranet, adgang til kunder, eller online setup for kundemÃ¸der.;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758261;1758199;customformelement;field;text;;;;Forklar;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758267;1758199;customformelement;field;text;;;;Hvilke stÃ¸jgener?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758270;1758199;customformelement;field;text;;;;Hvad for slags forstyrrelser?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758287;;customform;special;;;layout_fixedimage;;Armplads;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758288;;customform;special;;;layout_fixedimage;;BevÃ¦gelse;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758289;;customform;special;;;layout_fixedimage;;Holdning;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758321;1758199;customformelement;special;;;layout_text;;Se ogsÃ¥ billederne under spÃ¸rgeskemaet og brug gerne et mÃ¥lebÃ¥nd.;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758302;1758199;customformelement;field;text;;;;Kommentar;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758314;1758199;customformelement;special;;;layout_text;;Du skal tage udgangspunkt i din almindelige arbejdsstilling.;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758322;1758199;customformelement;field;text;;;;HvornÃ¥r oplever du en dÃ¥rlig belysning?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758341;1758199;customformelement;field;combo;;;;Oplever du at du har den rigtige arbejdsstilling?;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1758384;;customform;special;;;createdby;;Oprettet af;DA
ipw;form1761709;1761709;Onboarding - opgaver;1761710;;customform;field;string;;;;Beskrivelse;DA
ipw;form1761741;1761741;Onboarding - opgavetyper;1761742;;customform;field;string;;;;Typenavn;DA
ipw;form1761709;1761709;Onboarding - opgaver;1761713;;customform;field;relation;;;form1761741;Type;DA
ipw;form1761709;1761709;Onboarding - opgaver;1761714;;customform;field;integer;;;;Sortering;DA
ipw;form1761709;1761709;Onboarding - opgaver;1761715;;customform;field;confirmcheckbox;;;;UdfÃ¸rt;DA
ipw;form1761716;1761716;Onboarding - HR;1761717;;customform;field;string;;;;Medarbejdernavn;DA
ipw;form1761718;1761718;Onboarding - Administration;1761719;;customform;field;relation;;;form1761716;Medarbejdernavn;DA
ipw;form1761718;1761718;Onboarding - Administration;1763992;;customform;field;inline;;;form1761709;Opgaver;DA
ipw;form1763994;1763994;Onboarding - Direktion;1763995;;customform;field;relation;;;form1761716;Medarbejdernavn;DA
ipw;form1763994;1763994;Onboarding - Direktion;1763996;;customform;field;inline;;;form1761709;Opgaver;DA
ipw;form1763998;1763998;Onboarding - IT;1763999;;customform;field;relation;;;form1761716;Medarbejdernavn;DA
ipw;form1763998;1763998;Onboarding - IT;1764000;;customform;field;inline;;;form1761709;Opgaver;DA
ipw;form1764002;1764002;Onboarding - Mentor;1764003;;customform;field;relation;;;form1761716;Medarbejdernavn;DA
ipw;form1764002;1764002;Onboarding - Mentor;1764004;;customform;field;relation;;;user;VÃ¦lg mentor;DA
ipw;form1764002;1764002;Onboarding - Mentor;1764005;;customform;field;inline;;;form1761709;Opgaver;DA
ipw;form1764007;1764007;Onboarding - NÃ¦rmeste leder;1764008;;customform;field;relation;;;form1761716;Medarbejdernavn;DA
ipw;form1764007;1764007;Onboarding - NÃ¦rmeste leder;1764009;;customform;field;userrelation;;;;VÃ¦lg nÃ¦rmeste leder;DA
ipw;form1764007;1764007;Onboarding - NÃ¦rmeste leder;1764015;;customform;field;inline;;;form1761709;Opgaver;DA
ipw;form1764002;1764002;Onboarding - Mentor;1764022;;customform;special;;;responsible;;Mentor;DA
ipw;form1764007;1764007;Onboarding - NÃ¦rmeste leder;1764046;;customform;special;;;responsible;;Ansvarlig;DA
ipw;form829798;829798;Lead til salg;1764446;;customform;special;;;responsible;;Ansvarlig;DA
ipw;form1765036;1765036;OTP;1765037;;customform;field;string;;;;Secret;DA
ipw;form1683675;1683675;SI - Handleplan;1789364;1754955;customformelement;field;text;;;;Status / Lessons Learned;DA
ipw;form1791986;1791986;Vareoversigt;1791987;;customform;field;relation;;;ipwproduct;Vare;DA
ipw;form1791986;1791986;Vareoversigt;1791988;1791995;customformelement;field;html;;;;Tilbudstekst;DA
ipw;form1791986;1791986;Vareoversigt;1791995;;customform;block;;layout_fieldset;;;Tilbud;DA
ipw;form1791986;1791986;Vareoversigt;1791989;1791995;customformelement;field;listselect;;;document;Tilbudsskabelon DK;DA
ipw;form1791986;1791986;Vareoversigt;1791990;;customform;block;;layout_fieldset;;;Installation;DA
ipw;form1791986;1791986;Vareoversigt;1791991;1791990;customformelement;field;radiobutton;;;;Aktiveres via konfiguration;DA
ipw;form1791986;1791986;Vareoversigt;1791992;1791990;customformelement;field;listselect;;;document;Vejledning;DA
ipw;form1791986;1791986;Vareoversigt;1791996;1791995;customformelement;field;radiobutton;;;;Har sÃ¦rskilt tilbudsskabelon;DA
ipw;form1791986;1791986;Vareoversigt;1792000;;customform;block;;layout_fieldset;;;Dokumentation;DA
ipw;form1791986;1791986;Vareoversigt;1792002;1792000;customformelement;field;url;;;;Website DK;DA
ipw;form1791986;1791986;Vareoversigt;1792003;1792000;customformelement;field;url;;;;Website EN;DA
ipw;form1791986;1791986;Vareoversigt;1792004;1792000;customformelement;field;url;;;;Supportsite;DA
ipw;form1791986;1791986;Vareoversigt;1792005;1792000;customformelement;field;radiobutton;;;;Webinar;DA
ipw;form1791986;1791986;Vareoversigt;1792017;1791990;customformelement;field;radiobutton;;;;Installationsvejledning;DA
ipw;form1791986;1791986;Vareoversigt;1792013;1792000;customformelement;field;url;;;;Webinaroversigt;DA
ipw;form1791986;1791986;Vareoversigt;1792025;1791990;customformelement;field;text;;;;VÃ¦sentlig info;DA
ipw;form1791986;1791986;Vareoversigt;1792026;1792000;customformelement;field;url;;;;Demosite DK;DA
ipw;form1791986;1791986;Vareoversigt;1792027;1792000;customformelement;field;url;;;;Demosite EN;DA
ipw;form1791986;1791986;Vareoversigt;1792029;;customform;block;;layout_fieldset;;;Ordre;DA
ipw;form1791986;1791986;Vareoversigt;1792030;1792029;customformelement;field;text;;;;Opgaveflow;DA
ipw;form1791986;1791986;Vareoversigt;1792034;1791990;customformelement;field;combo_multiple;;;;Kan leveres/installeres af;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1800507;;customform;special;;;responsible;;Ansvarlig;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1800543;;customform;block;;layout_fieldset;;;ArbejdsmiljÃ¸gruppen;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1800549;1800543;customformelement;field;radiobutton;;;;Vurdering AMG;DA
ipw;form1758187;1758187;APV 2021 Arbejde hjemmefra;1800554;1800543;customformelement;field;texthistory;;;;Kommentar;DA
ipw;form1600633;1600633;Test bandit;1805595;;customform;special;;;objectid;;ObjectId;DA
ipw;form1806224;1806224;Offboarding - opgavetyper;1806225;;customform;field;string;;;;Typenavn;DA
ipw;form1761709;1761709;Onboarding - opgaver;1813133;;customform;field;string;;;;Kommentar;DA
ipw;form1365947;1365947;PlanlÃ¦gningslinjer;1820074;;customform;field;string;;;;Note;DA
ipw;form1827095;1827095;MÃ¥letal;1827096;;customform;field;relation;;;form1827097;Emne;DA
ipw;form1827097;1827097;MÃ¥letal emner;1827098;;customform;field;string;;;;Tekst;DA
ipw;form1836490;1836490;Konkurrentoversigt - regnskabsopl;1836491;;customform;field;string;;;;RegnskabsÃ¥r;DA
ipw;form1836490;1836490;Konkurrentoversigt - regnskabsopl;1836493;;customform;field;decimal;;;;Bruttofortjeneste, tkr;DA
ipw;form1836490;1836490;Konkurrentoversigt - regnskabsopl;1836494;;customform;field;decimal;;;;OmsÃ¦tning, tkr;DA
ipw;form1836490;1836490;Konkurrentoversigt - regnskabsopl;1836495;;customform;field;decimal;;;;Ã…rets resultat (efter skat);DA
ipw;form1836490;1836490;Konkurrentoversigt - regnskabsopl;1836501;;customform;field;relation;;;form773803;Konkurrent;DA
ipw;form1846032;1846032;Flowchart Roles;1846033;;customform;field;string;;;;Role;DA
ipw;form1858414;1858414;Esbens hygge formular;1858415;;customform;field;string;;;;Navn v2;DA
ipw;form1858414;1858414;Esbens hygge formular;1858416;;customform;field;text;;;;HÃ¦ndelse;DA
ipw;form1858414;1858414;Esbens hygge formular;1858417;;customform;field;date;;;;Dato;DA
ipw;form1329139;1329139;Leverancer;1860472;1860481;customformelement;field;date;;;;Formular opstart;DA
ipw;form1329139;1329139;Leverancer;1860481;1329153;customformelement;block;;layout_column;;;KURSUS KOLONNE;DA
ipw;form1329139;1329139;Leverancer;1860500;;customform;block;;layout_column;;;KOLONNE EVALUERING;DA
ipw;form1329139;1329139;Leverancer;1860679;1419994;customformelement;special;;;layout_text;;Opret evaluering via Fanebladet sÃ¥ disse er linket sammen;DA
ipw;form1418063;1418063;Evaluering af Ny kunde forlÃ¸b;1860685;1418072;customformelement;field;relation;;;form1329139;TilhÃ¸rende Leverance;DA
ipw;form1329139;1329139;Leverancer;1860781;1419994;customformelement;field;text;;;;Kommentar;DA
ipw;form1329139;1329139;Leverancer;1860810;1419994;customformelement;field;checkbox;;;;Evaluering udfÃ¸res ikke;DA
ipw;form1229546;1229546;Udstyr;1864704;2349762;customformelement;field;confirmcheckbox;;;;Onedrive installeret;DA
ipw;form1867496;1867496;Testpunkter pÃ¥ installationer;1867497;;customform;field;relation;;;company;Virksomhed;DA
ipw;form1867496;1867496;Testpunkter pÃ¥ installationer;1867501;;customform;field;string;;;;Overskrift;DA
ipw;form1868848;1868848;Esben test til kontraktgenerator;1868849;;customform;field;string;;;;Produktnavn;DA
ipw;form1867496;1867496;Testpunkter pÃ¥ installationer;1867502;;customform;field;html;;;;Testbeskrivelse;DA
ipw;form1867496;1867496;Testpunkter pÃ¥ installationer;1867503;;customform;field;confirmcheckbox;;;;Kvittering;DA
ipw;form1868848;1868848;Esben test til kontraktgenerator;1868852;;customform;field;combo_multiple;;;;Softwarepakke;DA
ipw;form1868848;1868848;Esben test til kontraktgenerator;1868873;;customform;field;radiobutton;;;;Type;DA
ipw;form1868848;1868848;Esben test til kontraktgenerator;1868904;;customform;field;decimal;;;;Pris (over 250);DA
ipw;form1868848;1868848;Esben test til kontraktgenerator;1868905;;customform;field;decimal;;;;Pris (under 250);DA
ipw;form1868848;1868848;Esben test til kontraktgenerator;1870435;;customform;field;decimal;;;;Pris (pr. mÃ¥ned);DA
ipw;form1329139;1329139;Leverancer;1882102;1372368;customformelement;field;date;;;;Installation udsat - pÃ¥mind;DA
ipw;form1870853;1870853;Philips Tester;1882777;;customform;field;inline;;;document;Inline;DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1885643;;customform;field;string;;;;Titel;DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1885644;;customform;field;text;;;;Beskrivelse;DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1885645;;customform;field;integer;;;;Frekvens (dage);DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1885649;;customform;field;date;;;;Senest udfÃ¸rt;DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1885651;;customform;field;date;;;;NÃ¦ste udfÃ¸relse;DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1885673;;customform;field;relation;;;document;Evt tilhÃ¸rende dokument;DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1885679;;customform;field;url;;;;Evt link til registreringer;DA
ipw;form1886010;1886010;ServicebesÃ¸g;1886013;;customform;field;listselect;;;document;ServicebesÃ¸g;DA
ipw;form1621149;1621149;IPW Server;1886861;;customform;field;date;;;;Sidste systemopdatering;DA
ipw;form1621149;1621149;IPW Server;1886862;;customform;field;date;;;;Sidste genstart;DA
ipw;form1887113;1887113;decimaltester;1888871;;customform;field;decimal;;;;Input 1;DA
ipw;form1887113;1887113;decimaltester;1888872;;customform;field;decimal;;;;Input 2;DA
ipw;form1887113;1887113;decimaltester;1888873;;customform;field;decimal;;;;Output;DA
ipw;form1885642;1885642;ISMS Ã…rshjulslogning;1899445;;customform;field;date;;;;Dato;DA
ipw;form1885642;1885642;ISMS Ã…rshjulslogning;1899448;;customform;field;text;;;;Beskrivelse;DA
ipw;form4129;1248442;Informationsaktiver;1899850;;customform;field;combo;;;;Fortrolighed;DA
ipw;form4129;1248442;Informationsaktiver;1899935;;customform;field;decimal;;;;Score;DA
ipw;form4129;1248442;Informationsaktiver;1899853;;customform;field;combo;;;;TilgÃ¦ngelighed;DA
ipw;form4129;1248442;Informationsaktiver;1899858;;customform;field;combo;;;;Integritet;DA
ipw;form4129;1248442;Informationsaktiver;1900040;;customform;field;relation;;;form4132;LeverandÃ¸r;DA
ipw;form4129;1248442;Informationsaktiver;1900071;;customform;block;;layout_hiddenblock;;;UdgÃ¥ede felter;DA
ipw;form4132;1248452;LeverandÃ¸rer / databehandlere;1900220;;customform;block;;layout_hiddenblock;;;UdgÃ¥ede felter;DA
ipw;form1885641;1885641;ISMS Ã…rshjul;1902191;;customform;field;checkbox;;;;Direktion;DA
