"Kunde","customname","customform","name","fieldobjectid","fieldparentid","fieldparenttype","elementtype","fieldtype","blocktype","specialtype","fieldrelation","fieldlabel","language"
abinventech,form876,876,Kundereklamation,877,"878",customformelement,field,listselect,"","",form2488,Vælg kunde,DA
abinventech,form876,876,Kundereklamation,878,"",customform,block,"",layout_fieldset,"","",Kundeoplysninger,DA
abinventech,form876,876,Kundereklamation,879,"878",customformelement,field,string,"","","",Gadenavn,DA
abinventech,form876,876,Kundereklamation,880,"878",customformelement,field,string,"","","",Postnr,DA
abinventech,form876,876,Kundereklamation,881,"878",customformelement,field,string,"","","",By,DA
abinventech,form876,876,Kundereklamation,882,"878",customformelement,field,string,"","","",Telefonnummer,DA
abinventech,form876,876,Kundereklamation,883,"878",customformelement,field,string,"","","",E-mail,DA
abinventech,form876,876,Kundereklamation,884,"878",customformelement,field,string,"","","",Kontaktperson,DA
abinventech,form876,876,Kundereklamation,885,"878",customformelement,field,string,"","","",Kundens reference,DA
abinventech,form876,876,Kundereklamation,892,"893",customformelement,field,userrelation,"","","",Behandles af,DA
abinventech,form876,876,Kundereklamation,893,"",customform,block,"",layout_fieldset,"","",Behandling af reklamationen,DA
abinventech,form876,876,Kundereklamation,894,"893",customformelement,field,text,"","","",Handling der førte til reklamationen,DA
abinventech,form876,876,Kundereklamation,896,"893",customformelement,field,relation,"","",form1558,Valgt løsning,DA
abinventech,form876,876,Kundereklamation,897,"893",customformelement,field,decimal,"","","","Omkostning, kr",DA
abinventech,form876,876,Kundereklamation,899,"893",customformelement,field,relation,"","",form1560,Årsag til reklamationen,DA
abinventech,form876,876,Kundereklamation,931,"",customform,block,"",layout_fieldset,"","",Info,DA
abinventech,form876,876,Kundereklamation,900,"893",customformelement,field,userrelation_multiple,"","","",Send Information til,DA
abinventech,form876,876,Kundereklamation,901,"",customform,block,"",layout_fieldset,"","",Oplysninger om reklamationen,DA
abinventech,form876,876,Kundereklamation,902,"901",customformelement,field,string,"","","",Varenummer,DA
abinventech,form876,876,Kundereklamation,903,"901",customformelement,field,string,"","","",Varenavn,DA
abinventech,form876,876,Kundereklamation,908,"901",customformelement,field,text,"","","",Kundens fejlbeskrivelse,DA
abinventech,form876,876,Kundereklamation,932,"931",customformelement,special,"","",createdby,"",Oprettet af,DA
abinventech,form876,876,Kundereklamation,933,"931",customformelement,special,"","",created,"",Oprettet,DA
abinventech,form876,876,Kundereklamation,1028,"",customform,special,"","",layout_buttonupload,"",Vedhæft filer,DA
abinventech,form876,876,Kundereklamation,1055,"931",customformelement,field,autonum,"","","",Nummer,DA
abinventech,form1089,1089,Afvigelse,1090,"1094",customformelement,field,autonum,"","","",Nummer,DA
abinventech,form1089,1089,Afvigelse,1092,"1094",customformelement,special,"","",created,"",Oprettet,DA
abinventech,form1089,1089,Afvigelse,1093,"1094",customformelement,special,"","",createdby,"",Oprettet af,DA
abinventech,form1089,1089,Afvigelse,1094,"",customform,block,"",layout_fieldset,"","",Info,DA
abinventech,form1089,1089,Afvigelse,1095,"",customform,block,"",layout_fieldset,"","",Oprettelse,DA
abinventech,form1089,1089,Afvigelse,1096,"1095",customformelement,field,relation,"","",form1098,Fejlkode,DA
abinventech,form1089,1089,Afvigelse,1101,"1095",customformelement,field,userrelation,"","","",Vælg behandler,DA
abinventech,form1089,1089,Afvigelse,1102,"1095",customformelement,field,text,"","","",Beskrivelse af afvigelsen,DA
abinventech,form1089,1089,Afvigelse,1103,"1095",customformelement,field,text,"","","",Det har jeg gjort,DA
abinventech,form1089,1089,Afvigelse,1104,"1095",customformelement,field,date,"","","",Afvigelsen skete den,DA
abinventech,form1089,1089,Afvigelse,1105,"",customform,special,"","",layout_buttonupload,"",Vedhæft filer,DA
abinventech,form1089,1089,Afvigelse,1106,"",customform,block,"",layout_fieldset,"","",Behandling,DA
abinventech,form1089,1089,Afvigelse,1107,"1106",customformelement,field,multiselect,"","",form1401,Korrigerende handling,DA
abinventech,form1089,1089,Afvigelse,1108,"1106",customformelement,field,date,"","","",Udført dato,DA
abinventech,form1089,1089,Afvigelse,1210,"1094",customformelement,special,"","",responsible,"",Ansvarlig,DA
abinventech,form1089,1089,Afvigelse,1213,"1106",customformelement,field,text,"","","",Bemærkning,DA
abinventech,form1220,1220,Forbedringsforslag,1222,"",customform,block,"",layout_fieldset,"","",Info,DA
abinventech,form1220,1220,Forbedringsforslag,1223,"",customform,block,"",layout_fieldset,"","",Beskrivelse,DA
abinventech,form1220,1220,Forbedringsforslag,1224,"",customform,block,"",layout_fieldset,"","",Beslutning,DA
abinventech,form1220,1220,Forbedringsforslag,1225,"",customform,block,"",layout_fieldset,"","",Implementering,DA
abinventech,form1220,1220,Forbedringsforslag,1226,"",customform,block,"",layout_fieldset,"","",Opfølgning (UDGÅET),DA
abinventech,form1220,1220,Forbedringsforslag,1227,"1222",customformelement,field,autonum,"","","",Nummer,DA
abinventech,form1220,1220,Forbedringsforslag,1228,"1222",customformelement,special,"","",createdby,"",Oprettet af,DA
abinventech,form1220,1220,Forbedringsforslag,1229,"1222",customformelement,special,"","",created,"",Oprettet,DA
abinventech,form1220,1220,Forbedringsforslag,1230,"1222",customformelement,field,relation,"","",form1376,Evt. relateret Intern Audit nr.,DA
abinventech,form1220,1220,Forbedringsforslag,1231,"1223",customformelement,field,relation,"","",department,Afdeling,DA
abinventech,form1220,1220,Forbedringsforslag,1232,"1223",customformelement,field,string,"","","",Overskrift,DA
abinventech,form1220,1220,Forbedringsforslag,1233,"1223",customformelement,field,text,"","","",Forslag til forbedring / løsning,DA
abinventech,form1220,1220,Forbedringsforslag,1234,"1223",customformelement,field,decimal,"","","",Anslåede omkostninger (DKK),DA
abinventech,form1220,1220,Forbedringsforslag,1235,"1225",customformelement,field,decimal,"","","",Faktiske omkostninger (DKK),DA
abinventech,form1220,1220,Forbedringsforslag,1236,"1223",customformelement,field,userrelation,"","","",Vælg beslutningstager,DA
abinventech,form1220,1220,Forbedringsforslag,1237,"1224",customformelement,field,combo,"","","",Prioritet - UDGÅET,DA
abinventech,form1220,1220,Forbedringsforslag,1238,"1224",customformelement,field,text,"","","",Beskrivelse af implementering,DA
abinventech,form1220,1220,Forbedringsforslag,1239,"1224",customformelement,field,userrelation,"","","",Ansvarlig for implementering,DA
abinventech,form1220,1220,Forbedringsforslag,1240,"1224",customformelement,field,date,"","","",Deadline for implementering,DA
abinventech,form1220,1220,Forbedringsforslag,1241,"1225",customformelement,field,date,"","","",Implementeret dato,DA
abinventech,form1220,1220,Forbedringsforslag,1242,"1225",customformelement,field,text,"","","",Bemærkning,DA
abinventech,form1220,1220,Forbedringsforslag,1243,"1226",customformelement,field,date,"","","",Opfølgning foretaget,DA
abinventech,form1220,1220,Forbedringsforslag,1244,"1226",customformelement,field,radiobutton,"","","",Konklusion,DA
abinventech,form1376,1376,Audit,1377,"",customform,block,"",layout_fieldset,"","",Info,DA
abinventech,form1376,1376,Audit,1378,"",customform,block,"",layout_fieldset,"","",Auditvarsel,DA
abinventech,form1376,1376,Audit,1379,"",customform,block,"",layout_fieldset,"","",Auditrapport,DA
abinventech,form1376,1376,Audit,1380,"",customform,block,"",layout_fieldset,"","",Opfølgning,DA
abinventech,form1376,1376,Audit,1381,"1377",customformelement,field,autonum,"","","",Nummer,DA
abinventech,form1376,1376,Audit,1382,"1377",customformelement,special,"","",createdby,"",Oprettet af,DA
abinventech,form1376,1376,Audit,1383,"1377",customformelement,special,"","",created,"",Oprettelsesdato,DA
abinventech,form1376,1376,Audit,1385,"1378",customformelement,field,relation,"","",form27144,Audit Område,DA
abinventech,form1376,1376,Audit,1387,"1378",customformelement,field,date,"","","",Auditdato,DA
abinventech,form1376,1376,Audit,1390,"1378",customformelement,field,userrelation,"","","",Ledende auditor,DA
abinventech,form1376,1376,Audit,1391,"1378",customformelement,field,userrelation,"","","",Assisterende auditor,DA
abinventech,form1376,1376,Audit,1392,"1378",customformelement,field,userrelation_multiple,"","","",Deltagere,DA
abinventech,form1376,1376,Audit,1393,"1379",customformelement,field,text,"","","",Auditresultat - resumé,DA
abinventech,form1376,1376,Audit,1395,"1379",customformelement,field,userrelation_multiple,"","","",Send info til brugere,DA
abinventech,form1376,1376,Audit,1396,"1379",customformelement,field,relation_multiple,"","",usergroup,Send info til brugergrupper,DA
abinventech,form1376,1376,Audit,1397,"1380",customformelement,field,date,"","","",Opfølgning foretaget,DA
abinventech,form1376,1376,Audit,1398,"1380",customformelement,field,text,"","","",Kommentarer,DA
abinventech,form1376,1376,Audit,1399,"1380",customformelement,field,radiobutton,"","","",Reel forbedring?,DA
abinventech,form1376,1376,Audit,1400,"",customform,special,"","",layout_buttonupload,"",Vedhæft filer,DA
abinventech,form1401,1401,Korrigerende handling,1402,"",customform,block,"",layout_fieldset,"","",Info,DA
abinventech,form1401,1401,Korrigerende handling,1403,"",customform,block,"",layout_fieldset,"","",Beskrivelse af udførelse,DA
abinventech,form1401,1401,Korrigerende handling,1404,"",customform,block,"",layout_fieldset,"","",Udførelse,DA
abinventech,form1401,1401,Korrigerende handling,1405,"",customform,block,"",layout_fieldset,"","",Verifikation,DA
abinventech,form1401,1401,Korrigerende handling,1407,"1402",customformelement,special,"","",created,"",Oprettet,DA
abinventech,form1401,1401,Korrigerende handling,1408,"1402",customformelement,special,"","",createdby,"",Oprettet af,DA
abinventech,form1401,1401,Korrigerende handling,1409,"1402",customformelement,special,"","",responsible,"",Ansvarlig,DA
abinventech,form1401,1401,Korrigerende handling,1410,"1402",customformelement,field,autonum,"","","",Nummer,DA
abinventech,form1401,1401,Korrigerende handling,1411,"3323",customformelement,field,relation,"","",form1089,Evt. relateret afvigelse,DA
abinventech,form1401,1401,Korrigerende handling,1412,"1403",customformelement,field,text,"","","",Følgende udføres,DA
abinventech,form1401,1401,Korrigerende handling,1413,"1403",customformelement,field,date,"","","",Deadline,DA
abinventech,form1401,1401,Korrigerende handling,1414,"1403",customformelement,field,userrelation,"","","",Vælg ansvarlig,DA
abinventech,form1401,1401,Korrigerende handling,1415,"1404",customformelement,field,text,"","","",Hvad er udført,DA
abinventech,form1401,1401,Korrigerende handling,1416,"1404",customformelement,field,date,"","","",Udført dato,DA
abinventech,form1401,1401,Korrigerende handling,1417,"1405",customformelement,field,date,"","","",Verificeret dato,DA
abinventech,form1401,1401,Korrigerende handling,1418,"1405",customformelement,field,text,"","","",Kommentar,DA
abinventech,form876,876,Kundereklamation,1496,"931",customformelement,special,"","",responsible,"",Ansvarlig,DA
abinventech,form1401,1401,Korrigerende handling,1539,"3323",customformelement,field,relation,"","",form876,Evt. relateret reklamation,DA
abinventech,form1554,1554,Reklamationer - Fejlkode,1555,"",customform,field,string,"","","",Tekst,DA
abinventech,form1558,1558,Reklamation - Valgt løsning,1559,"",customform,field,string,"","","",Tekst,DA
abinventech,form1560,1560,Reklamation - Årsag,1561,"",customform,field,string,"","","",Tekst,DA
abinventech,form1562,1562,Reklamation - Opstået hos,1563,"",customform,field,string,"","","",Tekst,DA
abinventech,form1089,1089,Afvigelse,1685,"1095",customformelement,field,relation,"","",form1376,Relateret til Audit nr.,DA
abinventech,form1220,1220,Forbedringsforslag,1697,"1222",customformelement,special,"","",responsible,"",Ansvarlig,DA
abinventech,form2455,2455,Afvigelse - Fejlkategori,2456,"",customform,field,string,"","","",Fejlkategori,DA
abinventech,form1098,1098,Afvigelse - Fejlkode,2461,"",customform,field,relation,"","",form2455,Fejlkategori,DA
abinventech,form1089,1089,Afvigelse,2476,"1095",customformelement,field,relation,"","",form2455,Fejlkategori,DA
abinventech,form2488,2488,Kunde,2489,"",customform,field,string,"","","",Kundenummer,DA
abinventech,form2488,2488,Kunde,2491,"",customform,field,string,"","","",Kundenavn,DA
abinventech,form2488,2488,Kunde,2492,"",customform,field,string,"","","",Adresse 1,DA
abinventech,form2488,2488,Kunde,2493,"",customform,field,string,"","","",Adresse 2,DA
abinventech,form2488,2488,Kunde,2494,"",customform,field,string,"","","",Telefonnummer,DA
abinventech,form2488,2488,Kunde,2495,"",customform,field,string,"","","",Postnummer,DA
abinventech,form2488,2488,Kunde,2496,"",customform,field,string,"","","",By,DA
abinventech,form876,876,Kundereklamation,2514,"878",customformelement,field,string,"","","",Navn,DA
abinventech,form1376,1376,Audit,2558,"1377",customformelement,special,"","",responsible,"",Ansvarlig,DA
abinventech,form1376,1376,Audit,2559,"1378",customformelement,field,combo,"","","",Type,DA
abinventech,form1376,1376,Audit,2561,"1378",customformelement,field,string,"","","",Tidspunkt (00:00),DA
abinventech,form1376,1376,Audit,2564,"1378",customformelement,special,"","",standards,"",Relaterede standarder,DA
abinventech,form1376,1376,Audit,2566,"1379",customformelement,field,radiobutton,"","","",Komplet auditrapport er vedhæftet?,DA
abinventech,form1401,1401,Korrigerende handling,3323,"",customform,block,"",layout_fieldset,"","",Relaterede afvigelser & reklamationer,DA
abinventech,form1089,1089,Afvigelse,3338,"1106",customformelement,field,combo,"","","",Risikovurdering (Skjules),DA
abinventech,form1098,1098,Afvigelse - Fejlkode,4055,"",customform,field,string,"","","",Fejlkode,DA
abinventech,form7635,7635,Billeder,7636,"",customform,field,imagethumbattach,"","","",Billede,DA
abinventech,form1089,1089,Afvigelse,7638,"1095",customformelement,field,inline,"","",form7635,Billeder,DA
abinventech,form7681,7681,Afvigelse - opstår,7682,"",customform,field,string,"","","",Opstår,DA
abinventech,form1089,1089,Afvigelse,7686,"1095",customformelement,field,relation,"","",form7681,Hvor opstod afvigelsen?,DA
abinventech,form7690,7690,Afvigelse - opdaget,7691,"",customform,field,string,"","","",Opdaget,DA
abinventech,form1089,1089,Afvigelse,7695,"1095",customformelement,field,relation,"","",form7690,Hvor blev afvigelsen opdaget?,DA
abinventech,form1089,1089,Afvigelse,7699,"",customform,block,"",layout_fieldset,"","",Omkostninger,DA
abinventech,form1089,1089,Afvigelse,7703,"7699",customformelement,block,"",layout_fieldset,"","",Produktion,DA
