,name,fieldlabel
0,Kundereklamation,Vælg kunde
2,Kundereklamation,Gadenavn
3,Kundereklamation,Postnr
4,Kundereklamation,By
5,Kundereklamation,Telefonnummer
6,Kundereklamation,E-mail
7,Kundereklamation,Kontaktperson
8,Kundereklamation,Kundens reference
9,Kundereklamation,Behandles af
11,Kundereklamation,Handling der førte til reklamationen
12,Kundereklamation,Valgt løsning
13,Kundereklamation,"Omkostning, kr"
14,Kundereklamation,Årsag til reklamationen
16,Kundereklamation,Send Information til
18,Kundereklamation,Varenummer
19,Kundereklamation,Varenavn
20,Kundereklamation,Kundens fejlbeskrivelse
21,Kundereklamation,Oprettet af
22,Kundereklamation,Oprettet
23,Kundereklamation,Vedhæft filer
24,Kundereklamation,Nummer
25,Afvigelse,Nummer
26,Afvigelse,Oprettet
27,Afvigelse,Oprettet af
30,Afvigelse,Fejlkode
31,Afvigelse,Vælg behandler
32,Afvigelse,Beskrivelse af afvigelsen
33,Afvigelse,Det har jeg gjort
34,Afvigelse,Afvigelsen skete den
35,Afvigelse,Vedhæft filer
37,Afvigelse,Korrigerende handling
38,Afvigelse,Udført dato
39,Afvigelse,Ansvarlig
40,Afvigelse,Bemærkning
46,Forbedringsforslag,Nummer
47,Forbedringsforslag,Oprettet af
48,Forbedringsforslag,Oprettet
49,Forbedringsforslag,Evt. relateret Intern Audit nr.
50,Forbedringsforslag,Afdeling
51,Forbedringsforslag,Overskrift
52,Forbedringsforslag,Forslag til forbedring / løsning
53,Forbedringsforslag,Anslåede omkostninger (DKK)
54,Forbedringsforslag,Faktiske omkostninger (DKK)
55,Forbedringsforslag,Vælg beslutningstager
56,Forbedringsforslag,Prioritet - UDGÅET
57,Forbedringsforslag,Beskrivelse af implementering
58,Forbedringsforslag,Ansvarlig for implementering
59,Forbedringsforslag,Deadline for implementering
60,Forbedringsforslag,Implementeret dato
61,Forbedringsforslag,Bemærkning
62,Forbedringsforslag,Opfølgning foretaget
63,Forbedringsforslag,Konklusion
68,Audit,Nummer
69,Audit,Oprettet af
70,Audit,Oprettelsesdato
71,Audit,Audit Område
72,Audit,Auditdato
73,Audit,Ledende auditor
74,Audit,Assisterende auditor
75,Audit,Deltagere
76,Audit,Auditresultat - resumé
77,Audit,Send info til brugere
78,Audit,Send info til brugergrupper
79,Audit,Opfølgning foretaget
80,Audit,Kommentarer
81,Audit,Reel forbedring?
82,Audit,Vedhæft filer
87,Korrigerende handling,Oprettet
88,Korrigerende handling,Oprettet af
89,Korrigerende handling,Ansvarlig
90,Korrigerende handling,Nummer
91,Korrigerende handling,Evt. relateret afvigelse
92,Korrigerende handling,Følgende udføres
93,Korrigerende handling,Deadline
94,Korrigerende handling,Vælg ansvarlig
95,Korrigerende handling,Hvad er udført
96,Korrigerende handling,Udført dato
97,Korrigerende handling,Verificeret dato
98,Korrigerende handling,Kommentar
